商店,商店 ID,地址,平均備餐時間,平均備餐時間差異 (%),平均等待時間,平均總計外送時間
時時香中式個人餐盒 新竹東區一店,,新竹市東區金山街88號,2971.5,86.16,389.25,3952.5
瓦城泰國料理 新竹東區一店,,"No. 88, Jinshan Street, East District, Hsinchu City, Taiwan 300",2674.5,40.61,654.75,4628.5
大心泰式麵食 新竹東區一店,,新竹市東區金山街88號,2444.5,64.38,66,3374.5
非常泰 台北天母Sogo店,,"No. 77, Section 6, Zhongshan North Road, Shilin District, Taipei City, Taiwan 111",2012.75,100.91,64.5,3194.25
瓦城泰國料理 淡水店,,251新北市淡水區中山路8號10F,1993.66667,25.87,328.83333,3484.41667
瓦城泰國料理 新竹湳雅店,,"No. 91, Nanya Street, North District, Hsinchu City, Taiwan 300",1989.5,14.77,116.66667,3197.66667
瓦城泰國料理 宜蘭新月店,,宜蘭縣宜蘭市民權路二段38巷6號 4樓,1926,58.75,0,3163
瓦城泰國料理 高雄漢神巨蛋店,,"No. 777, Bo'ai 2nd Road, Zuoying District, Kaohsiung City, Taiwan 813",1865.66667,36.78,307.66667,2947
1010湘 南港店,,"No. 186, Jingmao 2nd Road, Nangang District, Taipei City, Taiwan 115",1835.6,32.36,78.2,3058.6
瓦城泰國料理 林口三井店,,"1F, No. 356號, Section 1, Wenhuasan Road, Linkou District, New Taipei City, Taiwan 244",1820.72727,14.91,267.54545,3276.18182
瓦城泰國料理 台北微風車站,,台北市中正區北平西路3號2樓,1800,,240,3449
非常泰 內湖店,,Neihu Road Section 1 246,1792,35.71,165,2199
非常泰 新竹關新店,,Guanxin Road 79,1771,,295,2436.5
瓦城泰國料理 美麗華店,,Neihu Road Section 1 246,1730,12.12,59,2449
瓦城泰國料理 松山車站,,"No. 11, Songshan Rd, Xinyi District, Taipei City, Taiwan 110",1716.875,18.74,208,2827.375
瓦城泰式個人餐盒 松山店,,台北市松山區復興北路319號,1671.41667,43.64,145.27778,2939.66667
時時香 美麗華店,,台北市中山區敬業三路20號5樓,1641.8,2.25,580.4,3058.6
時時香 南港中信店,,Jingmao 2nd Road 186,1630,-12.27,198,2512
1010湘個人餐盒 淡水店,,Zhongshan Road 8,1611.71429,69.49,154,2934
瓦城泰式個人餐盒新竹湳雅店,,"No. 91, Nanya Street, North District, Hsinchu City, Taiwan 300",1610,37.89,180.66667,2438.16667
時時香 中壢大江店,,桃園市中壢區中園路二段509號4樓,1607,34.82,55,2932
瓦城泰國料理 南港二店,,"186, Jingmao 2nd Road",1601.33333,-7.35,0,2570
瓦城泰國料理 內湖潤泰店,,"1F, No. 188號, Section 4, Chenggong Road, Neihu District, Taipei City, Taiwan 114",1589.14286,-7.99,255,2911
瓦城泰國料理 中壢SOGO店,,320台灣桃園市中壢區元化路357號,1569.81818,-20.78,224,2934.72727
非常泰 竹北光明店,,Guangming 1st Road 187,1569.33333,32.99,191.33333,2466
瓦城泰式個人餐盒台中新時代店,,"No. 186, Section 4, Fuxing Road, East District, Taichung City, Taiwan 401",1557,32.91,184.66667,2509.33333
時時香中式個人餐盒 新竹東區二店,,"No. 81號, Guanxin Road, East District, Hsinchu City, Taiwan 300",1544.5,75.44,155.5,2361
瓦城泰國料理 新莊店,,"No. 750, Xingfu Road, Xinzhuang District, New Taipei City, Taiwan 242",1540.08696,32.37,170.17391,2713.26087
非常泰 松山店,,"319, Fuxing North Road",1534.52941,-2.85,109.11765,2499.17647
瓦城泰國料理 新竹東區二店,,"79, Guanxin Road",1528.47059,3.24,160.88235,2518.76471
1010湘個人餐盒 南港店,,Jingmao 2nd Road 186,1521.5,-9.43,0,2569.25
瓦城泰國料理 台中中友店,,台中市北區三民路三段161號,1513.71429,33.74,770.85714,3507.28571
時時香 台中新時代店,,401台灣台中市東區復興路四段186號,1500,23.05,593,3126
大心泰式麵食 南軟園區店,,"No. 186, Jingmao 2nd Road, Nangang District, Taipei City, Taiwan 115",1497.55556,-3.31,70.44444,2805
瓦城泰國料理 台中勤美店,,Gongyi Road 68,1489.88889,-0.51,277.88889,2871.77778
瓦城泰國料理  三重家樂福店,,新北市三重區重新路五段654號,1471.66667,-21.47,240,2843
非常泰  信義店,,110台灣台北市信義區松壽路22號,1433.5,-14.3,249.66667,2840.66667
時時香 台中勤美店,,公益路68號,1421.66667,17.98,19.66667,2650.33333
瓦城泰國料理 永和一店,,Yonghe Road Section 2 116,1407.71429,16.24,268.57143,2924.71429
