商店,商店 ID,地址,上線率,上線率差異 (%),離線時間 (分鐘)
1010湘個人餐盒 台中西區店,,Xiangshang North Road 100,100,0,0
大心 泰式麵食 EXPRESS店,,台北市信義區市府路45號,100,0,0
大心 泰式麵食 松山機場店,,Nanjing East Road Section 3 337,100,0,0
瓦城泰國料理 高雄大遠百店,,"No. 21, Sanduo 4th Road, Lingya District, Kaohsiung City, Taiwan 802",100,0,0
瓦城泰國料理 新竹湳雅店,,"No. 91, Nanya Street, North District, Hsinchu City, Taiwan 300",100,6.74,0
YABI KITCHEN 台中一店,,"No. 100, Xiangshang North Road, West District, Taichung City, Taiwan 403",100,0,0
時時香中式個人餐盒 松山店,,105台灣台北市松山區復興北路301號,100,0,0
瓦城泰國料理 永和一店,,Yonghe Road Section 2 116,100,0,0
瓦城泰國料理 宜蘭新月店,,宜蘭縣宜蘭市民權路二段38巷6號 4樓,100,0,0
瓦城泰國料理 天母店,,"No. 111, Tianmu West Road, Beitou District, Taipei City, Taiwan 112",100,0,0
非常泰 台中大遠百店,,"No. 251, Section 3, Taiwan Boulevard, Xitun District, Taichung City, Taiwan 407",100,0,0
瓦城泰式個人餐盒高雄大立店,,801台灣高雄市前金區五福三路57號,100,0,0
時時香 南港中信店,,Jingmao 2nd Road 186,100,0,0
時時香 中壢大江店,,桃園市中壢區中園路二段509號4樓,100,0,0
時時香 台中新時代店,,401台灣台中市東區復興路四段186號,100,0,0
瓦城泰式個人餐盒天母店,,112台灣台北市北投區天母西路111號,100,0,0
大心泰式麵食 微風南京店,,"No. 337, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105",100,0,0
大心泰式麵食 台中秀泰店,,"No. 76, Nanjing Road, East District, Taichung City, Taiwan 401",100,0,0
瓦城泰國料理 高雄漢神本館店,,"No. 266-1, Chenggong 1st Road, Qianjin District, Kaohsiung City, Taiwan 801",100,0.17,0
瓦城泰國料理 板橋一店,,Wenhua Road Section 1 65,100,0,0
時時香中式個人餐盒 台中西區二店,,台中市西區向上北路100-5號,100,0,0
瓦城泰式個人餐盒新莊店,,"No. 750, Xingfu Road, Xinzhuang District, New Taipei City, Taiwan 242",100,0,0
大心泰式麵食  統一時代店,,"No. 8號, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110",100,0,0
瓦城泰國料理 大安店,,"No. 133, Section 2, Anhe Road, Da’an District, Taipei City, Taiwan 106",100,0,0
瓦城泰國料理 汐止遠雄店,,新北市汐止區新台五路一段99號1樓,100,0,0
1010湘 內湖店,,"242, Section 1, Neihu Road",100,0,0
非常泰 天母店,,Tianmu West Road 111,100,0,0
瓦城泰式個人餐盒 松山店,,台北市松山區復興北路319號,100,0,0
大心泰式麵食 大安一店,,"No. 7, Alley 7, Lane 205, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106",100,0,0
非常泰 松山店,,"319, Fuxing North Road",100,0,0
瓦城泰國料理 微風信義A3店,,"No. 68, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110",100,30.65,0
大心泰式麵食 內壢家樂福店,,"No. 450號, Section 1, Zhonghua Road, Zhongli District, Taoyuan City, Taiwan 320",100,3.26,0
瓦城泰國料理 美麗華店,,Neihu Road Section 1 246,100,0,0
瓦城泰國料理 內湖潤泰店,,"1F, No. 188號, Section 4, Chenggong Road, Neihu District, Taipei City, Taiwan 114",100,0,0
時時香中式個人餐盒 板橋店,,Wenhua Road Section 1 65,100,0.59,0
1010湘 高雄左營店,,Mingcheng 2nd Road 357,100,0,0
瓦城泰國料理  三重家樂福店,,新北市三重區重新路五段654號,100,9.87,0
瓦城泰國料理 中和一店,,"No. 179, Jianyi Road, Zhonghe District, New Taipei City, Taiwan 235",100,0,0
瓦城泰國料理 新莊店,,"No. 750, Xingfu Road, Xinzhuang District, New Taipei City, Taiwan 242",100,0,0
時時香中式個人餐盒 內湖店,,114台灣台北市內湖區內湖路一段242號,100,0,0
瓦城泰式個人餐盒新店店,,新北市新店區建國路257號,100,0,0
大心泰式麵食 南軟園區店,,"No. 186, Jingmao 2nd Road, Nangang District, Taipei City, Taiwan 115",100,0,0
大心泰式麵食 桃園店,,Nanping Road 370,100,0,0
1010湘個人餐盒 中和建一店,,新北市中和區建一路162號,100,0,0
瓦城泰國料理 松山車站,,"No. 11, Songshan Rd, Xinyi District, Taipei City, Taiwan 110",100,0,0
時時香 台中勤美店,,公益路68號,100,0,0
作伙滷肉飯x無限廚房_天母店,,Tianmu West Road 111,100,0,0
1010湘 復北店,,105台灣台北市松山區復興北路301號,100,0,0
1010湘個人餐盒 松山店,,Fuxing North Road 301,100,0,0
大心泰式麵食 宜蘭新月店,,宜蘭縣宜蘭市民權路二段38巷6號4樓,100,0,0
時時香中式個人餐盒 南港店,,"No. 186, Jingmao 2nd Road, Nangang District, Taipei City, Taiwan 115",100,0,0
1010湘個人餐盒 南港店,,Jingmao 2nd Road 186,100,0,0
時時香中式個人餐盒微風南山店,,"No. 17, Songzhi Road, Xinyi District, Taipei City, Taiwan 110",100,0,0
瓦城泰國料理 台中中友店,,台中市北區三民路三段161號,100,0,0
瓦城泰國料理  嘉義秀泰店,,"No. 299, Wenhua Road, West District, Chiayi City, Taiwan 600",100,0,0
大心泰式麵食 中和一店,,"No. 172, Jianyi Road, Zhonghe District, New Taipei City, Taiwan 235",100,0,0
時時香 天母店,,Tianmu West Road 111,100,0,0
瓦城泰式個人餐盒板橋店,,"No. 65, Section 1, Wenhua Road, Banqiao District, New Taipei City, Taiwan 220",100,0.39,0
作伙滷肉飯x 無限廚房_松山店,,台北市松山區復興北路301號,100,0,0
瓦城泰國料理 台中勤美店,,Gongyi Road 68,100,0,0
非常泰 桃園店,,Nanping Road 370,100,0,0
非常泰 板橋大遠百店,,"8F, No. 28號, Xinzhan Road, Banqiao District, New Taipei City, Taiwan 220",100,0,0
大心泰式麵食 美麗華店,,10491台灣台北市中山區敬業三路20號,100,0,0
瓦城泰國料理 中壢SOGO店,,320台灣桃園市中壢區元化路357號,100,0,0
非常泰 內湖店,,Neihu Road Section 1 246,100,0,0
瓦城泰式個人餐盒 台中西區店,,台中市西區向上北路100-5號,100,0,0
瓦城泰國料理 南港二店,,"186, Jingmao 2nd Road",100,0,0
瓦城泰式個人餐盒新竹湳雅店,,"No. 91, Nanya Street, North District, Hsinchu City, Taiwan 300",100,0,0
瓦城泰國料理 南港車站店,,Zhongxiao East Road Section 7 369,100,0,0
瓦城泰國料理 西湖店,,"No. 246-1, Section 1, Neihu Road, Neihu District, Taipei City, Taiwan 114",100,0,0
1010湘個人餐盒 天母店,,Tianmu West Road 111,100,0,0
大心泰式麵食 內湖店,,台北市內湖區內湖路1段246之1號,100,0,0
時時香 松山店,,Fuxing North Road 301,100,0,0
瓦城泰國料理 三重一店,,"No. 95, Zhengyi North Road, Sanchong District, New Taipei City, Taiwan 241",100,0,0
時時香中式個人餐盒 淡水店,,新北市淡水區中山路8號,100,0,0
大心泰式麵食 漢神巨蛋店,,813台灣高雄市左營區博愛二路777號,100,0,0
瓦城泰式個人餐盒 南港店,,Jingmao 2nd Road 186,100,0,0
瓦城泰國料理 台中廣三SOGO店,,"No. 459, Section 2, Taiwan Boulevard, Xitun District, Taichung City, Taiwan 407",100,0,0
作伙滷肉飯x 無限廚房_淡水店,,新北市淡水區中山路8號9樓,100,0,0
瓦城泰國料理 高雄明誠店,,"357-1, Mingcheng 2nd Road",100,0,0
瓦城泰國料理 松山二店,,"319, Fuxing North Road",100,0,0
大心泰式麵食 新店家樂福店,,新北市新店區中興路三段1號1樓(家樂福新店店),100,0,0
1010湘 汐止遠雄店,,新北市汐止區新台五路一段99號A棟2樓,100,0,0
大心泰式麵食 台中中友店,,"No. 161, Section 3, Sanmin Road, North District, Taichung City, Taiwan 404",100,0,0
時時香 美麗華店,,台北市中山區敬業三路20號5樓,100,0,0
瓦城泰國料理  高雄大立店,,801台灣高雄市前金區五福三路57號,100,0,0
瓦城泰國料理 桃園一店,,"370, Nanping Road",100,0,0
瓦城泰國料理 微風南山店,,Songzhi Road 17,100,0,0
1010湘個人餐盒 高雄左營店,,Mingcheng 2nd Road 357,100,0,0
非常泰 南港店,,"186, Jingmao 2nd Road",100,0,0
1010湘個人餐盒 桃園店,,Nanping Road 370,100,0,0
小香餐盒 松山店,,台北市復興北路301號,100,0,0
1010湘個人餐盒 內湖店,,Neihu Road Section 1 242,100,0,0
瓦城泰國料理 淡水店,,251新北市淡水區中山路8號10F,100,0,0
大心泰式麵食 信義威秀,,松壽路20號,100,0,0
非常泰 大安店,,Anhe Road Section 2 133,100,0,0
1010湘 新店店,,"257, Jianguo Road",100,0,0
