Restaurant name,Order ID,Platform Key,Restaurant ID,Order status,Created at,Accepted at,Cancelled at,Cancellation reason,Cancellation owner,Rejected at,Rejection reason,Dispatched at,Delivered at,Address,Transport type,Payment type,Payment method,Food value,Packaging charges,Discount,Voucher,Minimum order value fee,Delivery Fee,Items,Preorder,Billable Status
瓦城泰國料理 (苗栗頭份店),a14o-2hy9,FP_TW,a14o,Delivered,2021-10-03 17:58,2021-10-03 18:59,,,,,,2021-10-03 19:29,2021-10-03 19:44,竹南鎮 350,Platform delivery,Online,cybersource_creditcard,750,0,0,0,0,0,"1 一人獨享餐 [1 辣炒豬肉, 1 泰國茉莉香米], 1 原味青木瓜沙律, 1 泰國茉莉香米",yes,yes
瓦城泰國料理 (苗栗頭份店),a14o-4s0x,FP_TW,a14o,Delivered,2021-10-03 12:48,2021-10-03 12:48,,,,,,,2021-10-03 14:10,,Pickup,Online,ApplePay,500,0,0,0,0,0,"1 椰汁炒雞肉, 2 泰國茉莉香米, 1 辣炒高麗菜",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-7g5g,FP_TW,a14o,Delivered,2021-10-03 18:44,2021-10-03 18:46,,,,,,2021-10-03 19:11,2021-10-03 19:25,頭份市 351,Platform delivery,Cash,COD,300,0,0,0,0,19,"1 辣炒豬肉, 1 泰國茉莉香米",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-7pts,FP_TW,a14o,Delivered,2021-10-03 19:00,2021-10-03 19:03,,,,,,2021-10-03 19:36,2021-10-03 19:42,頭份市 351,Platform delivery,Online,cybersource_creditcard,955,0,0,0,0,19,"1 辣炒豬肉, 1 BBQ嫩烤松阪豬, 1 綠咖哩椰汁雞",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-9ja3,FP_TW,a14o,Delivered,2021-10-03 17:50,2021-10-03 17:52,,,,,,2021-10-03 18:25,2021-10-03 18:34,竹南鎮 350,Platform delivery,Online,cybersource_creditcard,840,0,0,0,0,0,"1 芝麻酥蝦餅, 1 綠咖哩椰汁雞, 1 辣炒高麗菜, 3 泰國茉莉香米",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-9sif,FP_TW,a14o,Delivered,2021-10-03 17:13,2021-10-03 17:16,,,,,,2021-10-03 17:56,2021-10-03 18:03,頭份市 351,Platform delivery,Online,cybersource_creditcard,1229,0,0,200,0,0,"1 泰國冰奶茶, 1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米]",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-gsi5,FP_TW,a14o,Delivered,2021-10-03 16:36,2021-10-03 16:37,,,,,,,2021-10-03 17:11,,Pickup,Online,cybersource_creditcard,1200,0,120,0,0,0,"2 風味椒麻雞, 1 芝麻酥蝦餅, 1 花生蝦滋圈(3個)",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-j2sf,FP_TW,a14o,Delivered,2021-10-03 11:55,2021-10-03 12:00,,,,,,2021-10-03 12:35,2021-10-03 12:46,頭份市 351,Platform delivery,Online,cybersource_creditcard,1348,0,0,0,0,0,"1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米], 1 泰國茉莉香米, 2 泰國冰奶茶【400ml】",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-kj1i,FP_TW,a14o,Delivered,2021-10-03 18:52,2021-10-03 18:55,,,,,,2021-10-03 19:34,2021-10-03 19:46,Miaoli County 350,Platform delivery,Online,cybersource_creditcard,1130,0,0,60,0,0,"1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米]",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-pz4s,FP_TW,a14o,Delivered,2021-10-03 20:14,2021-10-03 20:17,,,,,,2021-10-03 20:33,2021-10-03 20:46,竹南鎮 350,Platform delivery,Cash,COD,1229,0,0,0,0,39,"1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米], 1 泰國冰奶茶",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-pzxh,FP_TW,a14o,Delivered,2021-10-03 11:09,2021-10-03 11:09,,,,,,,2021-10-03 12:18,,Pickup,Online,ApplePay,1045,0,0,200,0,0,"1 BBQ嫩烤松阪豬, 1 風味椒麻雞, 1 海鮮什蔬沙律",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-qg67,FP_TW,a14o,Delivered,2021-10-03 12:20,2021-10-03 16:52,,,,,,2021-10-03 17:33,2021-10-03 17:41,Zhunan Township 350,Platform delivery,Online,cybersource_creditcard,850,0,0,0,0,0,"1 泰式中卷沙律, 1 辣炒高麗菜, 1 辣炒豬肉, 3 泰國茉莉香米",yes,yes
瓦城泰國料理 (苗栗頭份店),a14o-tvgz,FP_TW,a14o,Delivered,2021-10-03 17:54,2021-10-03 17:56,,,,,,2021-10-03 18:50,2021-10-03 18:57,Hsinchu City 350,Platform delivery,Online,ApplePay,1269,0,0,0,0,29,"1 泰國冰奶茶, 1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米], 2 泰國茉莉香米",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-x5zf,FP_TW,a14o,Delivered,2021-10-03 18:00,2021-10-03 18:12,,,,,,2021-10-03 19:01,2021-10-03 19:18,Hsinchu City 351,Platform delivery,Cash,COD,1490,0,0,0,0,0,"1 酸辣海鮮湯, 2 泰國茉莉香米, 1 芝麻酥蝦餅, 1 椰汁炒牛肉, 1 辣炒豬肉, 1 蝦醬四季豆",no,yes
瓦城泰國料理 (苗栗頭份店),a14o-y5l4,FP_TW,a14o,Delivered,2021-10-03 18:48,2021-10-03 18:51,,,,,,2021-10-03 19:30,2021-10-03 19:36,Miaoli County 351,Platform delivery,Cash,COD,1680,0,0,0,0,19,"1 綠咖哩椰汁雞, 1 風味椒麻雞, 1 辣炒豬肉, 1 辣炒高麗菜, 6 泰國茉莉香米, 1 椰汁炒牛肉, 1 蠔油花椰菜",no,yes
